group_id,subcategories,suggested_keyword_th
13,"b2b-pasta+instant food, pasta+instant food","B2B-พาสต้า+อาหารสำเร็จรูป, พาสต้า+อาหารสำเร็จรูป"
14,"b2b-preserved+ dried, cs2-preserved+dried","B2B-เก็บรักษาไว้+ แห้ง, CS2-ถนอม+อบแห้ง"
15,"b2b-processed food, processed food","อาหารแปรรูปแบบ B2B, อาหารแปรรูป"
16,"b2b-vegetable, vegetable","B2B-ผัก, ผัก"
17,"b2c non lotus-ball, b2c non lotus-beef, b2c non lotus-rte, b2c non lotus-egg","B2C นอนโลตัสบอล, B2C นอนเนื้อบัว, B2C นอนโลตัส-ไข่, บีทูซี นนท์ โลตัส-อาร์ทีอี"
18,"b2c non lotus-frozen meat, b2c non lotus-ready meal","B2C เนื้อบัวไม่แช่แข็ง, B2C ไม่ใช่โลตัสพร้อมอาหาร"
19,"b2c non lotus-fruit, b2c non lotus-rte, b2c non lotus-pork, b2c non lotus-beef, b2c non lotus-poultry","B2C นอนเนื้อบัว, B2C ไม่ใช่โลตัส-ฟรุต, B2C นอนโลตัส-หมู, B2C ไม่ใช่โลตัส-สัตว์ปีก, บีทูซี นนท์ โลตัส-อาร์ทีอี"
20,"b2c non lotus-fruit+vegetable, b2c non lotus-vegetable","B2C ไม่ใช่ โลตัส-ผลไม้+ผัก, B2C ผักปลอดบัว"
21,"b2c non lotus-impulse, b2c non lotus-poultry","B2C นอนโลตัสอิมพัลส์, B2C ไม่ใช่โลตัส-สัตว์ปีก"
22,"b2c non lotus-sausage, b2c non lotus-impulse","B2C นอนโลตัสอิมพัลส์, บีทูซี นอนโลตัส-ไส้กรอก"
23,"baby household, cp-baby household, cancel baby household","ครัวเรือนเด็ก, ซีพี-เบบี้ เฮ้าส์"
24,"baby supplement, cancel baby supplement",อาหารเสริมสำหรับทารก
25,"baby wear, boy wear","เสื้อผ้าเด็ก, เด็กชายสวม"
26,"banking agent fee, banking agent service","ค่าธรรมเนียมตัวแทนธนาคาร, บริการตัวแทนธนาคาร"
27,"business service, cs2-business service","บริการธุรกิจ, บริการ CS2-ธุรกิจ"
28,"camera accessories, men accessories, computer accessories, av accessories, cs2-men accessories","อุปกรณ์เสริม AV, อุปกรณ์เสริมกล้อง, อุปกรณ์เสริมคอมพิวเตอร์, อุปกรณ์เสริม CS2-MEN, เครื่องประดับสำหรับผู้ชาย"
29,"cancel baby accessories, baby accessories",เครื่องประดับสำหรับเด็ก
30,"cancel cosmetics, cancel cs1-cosmetic",
31,"cancel cp-baby household, cancel baby household, cp-baby household, cancel household",ซีพี-เบบี้ เฮ้าส์
32,"cancel cp-baking needs, cancel cp-cooking needs",
33,"cancel cp-canned food, cancel cp-non food, cancel cp-food",
34,"cancel cp-cold beverage, cancel cp-hot beverage, cp-cold beverage",ซีพี-เครื่องดื่มเย็น
35,"cancel cp-dairy grocery, cancel dairy grocery, cp-dairy grocery",ซีพี-แดรี่ โกรเซอรี่
36,"cancel cp-dairy-gro div, cancel dairy-gro div",
37,"cancel cp-food supplement, cp-food supplement",ซีพี-อาหารเสริม
38,"cancel cp-h.b.a., cancel h.b.a.",
39,"cancel cp-household chemical, cp-household chemical",ซีพี-เคมิคอล
40,"cancel cp-household cleaning, cp-household cleaning, cancel cp-household chemical",ซีพี-ครัวเรือนทำความสะอาด
41,"cancel cp-paper goods, cp-paper goods",สินค้ากระดาษซีพี
42,"cancel cp-ready to drink, cancel ready to drink, cp-ready to drink",ซีพีพร้อมดื่ม
43,"cancel cp-spirit, cancel spirit",
44,"cancel cp-tobacco, cancel tobacco",
45,"cancel cs2-salad, cancel salad",
46,"cancel cs2-vegetable, cancel vegetable",
47,"cancel fruit, cancel spirit",
48,"cancel paint, cancel spirit",
49,"cat food standalone, cs2-pet food standalone, dog food standalone","อาหารแมวแบบสแตนด์อโลน, CS2-PET อาหารแบบสแตนด์อโลน, อาหารสุนัขแบบสแตนด์อโลน"
50,"cat supplies standalone, cs2-pet supplies standalone, dog supplies standalone, general supplies standalone","CAT ซัพพลายแบบสแตนด์อโลน, CS2-PET ซัพพลายแบบสแตนด์อโลน, อุปกรณ์สำหรับสุนัขแบบสแตนด์อโลน, อุปทานทั่วไปแบบสแตนด์อโลน"
51,"commission bill payment village fund, received bill payment village fund","กองทุนหมู่บ้านชำระค่าคอมมิชชัน, ได้รับเงินกองทุนหมู่บ้านจ่ายบิล"
52,"cooking needs, b2b-cooking needs, baking needs","ความต้องการในการทำอาหารแบบ B2B, ความต้องการในการอบ, ความต้องการในการทำอาหาร"
53,"cp shop in shop ball, cp shop in shop beef, cp shop in shop egg, cp shop in shop snack bar, cp shop in shop pork, cp shop in shop duck","CP SHOP ใน SHOP BALL, CP SHOP ในร้านเนื้อ, CP SHOP ในร้านเป็ด, CP SHOP ในร้าน EGG, CP SHOP ในร้านหมู, ร้าน CP ในร้านค้าสแน็คบาร์"
54,"cp shop in shop chicken, cp shop in shop duck, cp shop in shop egg, cp shop in shop delicatesen","CP SHOP ในร้านไก่, CP SHOP ในร้านขายอาหารสำเร็จรูป, CP SHOP ในร้านเป็ด, CP SHOP ในร้าน EGG"
55,"cp shop in shop chilled ready meal, cp shop in shop frozen ready meal","CP SHOP ในร้านค้าแช่เย็นพร้อมอาหาร, CP SHOP ในร้านค้าอาหารแช่แข็งพร้อมรับประทาน"
56,"cp shop in shop frozen meat, cp shop in shop frozen ready meal, cp shop in shop rte-frozen","CP SHOP ในร้านค้าเนื้อแช่แข็ง, CP SHOP ในร้านค้าอาหารแช่แข็งพร้อมรับประทาน, ร้าน CP ในร้าน RTE-FROZEN"
57,"cp shop in shop rte-ready to eat, cp shop in shop frozen ready meal","CP SHOP ในร้านค้าอาหารแช่แข็งพร้อมรับประทาน, CP SHOP ในร้านค้า RTE-READY TO EAT"
58,"cp shop in shop sausage, cp shop in shop egg","CP SHOP ในร้าน EGG, CP SHOP ในร้านไส้กรอก"
59,"cp-frozen, cs2-frozen, frozen","ซีพี-โฟรเซ่น, CS2-แช่แข็ง, แช่แข็ง"
60,"cp-h.b.a., h.b.a.","ซีพี-เอช.บี.เอ., H.B.A."
61,"cp-horeca cleaning supplies, ws horeca cleaning supplies","อุปกรณ์ทำความสะอาด CP-HORECA, WS HORECA อุปกรณ์ทำความสะอาด"
62,"cp-horeca restaurant supplies, ws horeca restaurant supplies","อุปกรณ์ร้านอาหารซีพี-โฮเรก้า, WS HORECA อุปกรณ์สำหรับร้านอาหาร"
63,"cp-hot beverage, hot beverage, cp-cold beverage, b2b-hot beverage, cancel cp-hot beverage","B2B-เครื่องดื่มร้อน, ซีพี-เครื่องดื่มเย็น, ซีพี-ฮอท เครื่องดื่ม, เครื่องดื่มร้อน"
64,"cp-religion, religion","ซีพี-ศาสนา, ศาสนา"
65,"cp-spirit, spirit","ซีพี-สปิริต, วิญญาณ"
66,"cp-tobacco, tobacco","ซีพี-โทแบคโค, ยาสูบ"
67,"cs1-children, cs2-children","CS1-เด็ก, CS2-เด็ก"
68,"cs1-consign shoes, cs2-consign shoes","รองเท้า CS1-CONSIGN, รองเท้า CS2-CONSIGN"
69,"cs1-dc delicatessen, cs2-delicatessen","CS1-DC ร้านอาหารสำเร็จรูป, CS2-ร้านอาหารสำเร็จรูป"
70,"cs1-entertainment, cs2-entertainment","CS1-ความบันเทิง, CS2-ความบันเทิง"
71,"cs1-kidswear, cs2-kidswear","CS1-ชุดเด็ก, CS2-ชุดเด็ก"
72,"cs1-ladies basic, cs2-ladies basic","CS1-สุภาพสตรีขั้นพื้นฐาน, CS2-สุภาพสตรีขั้นพื้นฐาน"
73,"cs1-men basic, cs2-men basic","CS1-MEN พื้นฐาน, CS2-MEN พื้นฐาน"
74,"cs1-mobile accessory by true, cs2-mobile accessory by true, mobile accessory by true, mobile accessory by dtac","อุปกรณ์เสริม CS1-MOBILE จาก TRUE, อุปกรณ์เสริม CS2-MOBILE โดย TRUE, อุปกรณ์เสริมมือถือโดย DTAC, อุปกรณ์เสริมมือถือโดย TRUE"
75,"cs1-mobile by true, cs2-mobile by true, mobile by true","CS1-MOBILE โดย TRUE, CS2-MOBILE โดย TRUE, มือถือโดยทรู"
76,"cs1-mobile phone, cs2-mobile phone","CS1-โทรศัพท์มือถือ, CS2-โทรศัพท์มือถือ"
77,"cs1-pharmacy, cs2-pharmacy","CS1-เภสัช, CS2-เภสัช"
78,"cs1-sim card by dtac, cs2-sim card by dtac, sim card by dtac, cs1-sim card by true, cs2-sim card by true","ซิมการ์ด CS1 โดย DTAC, CS1-SIM CARD โดย ทรู, ซิมการ์ด CS2 โดย DTAC, CS2-SIM CARD โดย TRUE, ซิมการ์ดโดยดีแทค"
79,"cs2-arabitia bakery consignment, cs2-arabitia liquor consignment, cs2-arabitia food consignment","CS2-ARABITIA เบเกอรี่ฝากขาย, การส่งมอบอาหาร CS2-ARABITIA, การส่งมอบสุรา CS2-ARABITIA"
80,"cs2-av accessories, cs2-accessories, av accessories, cs2-men accessories, cs2-ladies accessories, cs2-mobile accessories","อุปกรณ์เสริม AV, CS2-อุปกรณ์เสริม, อุปกรณ์เสริม CS2-AV, อุปกรณ์เสริม CS2-LADIES, อุปกรณ์เสริม CS2-MEN, อุปกรณ์เสริม CS2-มือถือ"
81,"cs2-baby, cs2-babywear","CS2-เบบี้, CS2-เสื้อผ้าเด็ก"
82,"cs2-cheese+butter, ws cheese+butter","CS2-ชีส+เนย, WS ชีส+เนย"
83,"cs2-express entertainment, cs2-entertainment","CS2-ความบันเทิง, ความบันเทิง CS2-EXPRESS"
84,"cs2-hardware, hardware","CS2-ฮาร์ดแวร์, ฮาร์ดแวร์"
85,"cs2-ladies wear, ladies wear","เครื่องแต่งกาย CS2-LADIES, ผู้หญิงสวมใส่"
86,"cs2-lighting, lighting","CS2-แสงสว่าง, แสงสว่าง"
87,"cs2-loose rice, loose rice, cs2-service","CS2-ข้าวหลวม, CS2-บริการ, ข้าวหลวม"
88,"cs2-men wear, men wear","เครื่องแต่งกาย CS2-MEN, ผู้ชายสวมใส่"
89,"cs2-pet food+supplys, pet food+supplys","CS2-อาหารสัตว์เลี้ยง+อุปกรณ์, อาหารสัตว์เลี้ยง+วัสดุสิ้นเปลือง"
90,"cs2-pet services, cs2-service","บริการ CS2-PET, CS2-บริการ"
91,"cs2-preserved dried product, preserved dried product","CS2-Preserved ผลิตภัณฑ์แห้ง, ผลิตภัณฑ์แห้งแบบเก็บรักษาไว้"
92,"cs2-sausage+ball, ws sausage+ball","CS2-ไส้กรอก+บอล, ดับบลิว ไส้กรอก+บอล"
93,"cs2-stationery, stationery","CS2-เครื่องเขียน, เครื่องเขียน"
94,"dairy+drinks, ws dairy+drinks","ผลิตภัณฑ์นม+เครื่องดื่ม, WS นม+เครื่องดื่ม"
95,"delicatessen, cs2-delicatessen","CS2-ร้านอาหารสำเร็จรูป, อาหารสำเร็จรูป"
96,"ds refrigerator, refrigerator","ตู้เย็น DS, ตู้เย็น"
97,"ds washing machine, washing machine","ดีเอส เครื่องซักผ้า, เครื่องซักผ้า"
98,"dummy consign department, dummy department","แผนกขนส่งดัมมี่, แผนกหุ่นจำลอง"
99,"dummy-dg food, dummy-dg non food","อาหาร DUMMY-DG, DUMMY-DG ไม่ใช่อาหาร"
100,"dummy-hardl e, dummy-hardl h","ดัมมี-ฮาร์ดล์ อี, ดัมมี่-ฮาร์ดแอล เอช"
101,"household chemical+ge, cp-household chemical","ซีพี-เคมิคอล, เคมีภัณฑ์ในครัวเรือน+GE"
102,"household cleaning, cp-household cleaning","ซีพี-ครัวเรือนทำความสะอาด, การทำความสะอาดบ้าน"
103,"instore bakery, ws instore bakery","ร้านเบเกอรี่, WS อินสโตร์ เบเกอรี่"
104,"internet of thing, internet of things","อินเทอร์เน็ตของสรรพสิ่ง, อินเทอร์เน็ตของทุกสิ่ง"
105,"major domestic appliance, small domestic appliance","เครื่องใช้ไฟฟ้าภายในบ้านที่สำคัญ, เครื่องใช้ไฟฟ้าภายในบ้านขนาดเล็ก"
106,"o-gift card, s-gift card","O-บัตรของขวัญ, เอส-กิฟต์การ์ด"
107,"o-sud khum voucher, s-sud khum voucher","O-สุดคุ้ม VOUCHER, S-สุดคุ้ม VOUCHER"
108,"o2o equipment next day, o2o equipment same day","อุปกรณ์ O2O ในวันถัดไป, อุปกรณ์ O2O ในวันเดียวกัน"
109,"other pets supplies standalone, cs2-pet supplies standalone","CS2-PET ซัพพลายแบบสแตนด์อโลน, อุปกรณ์สัตว์เลี้ยงอื่นๆ แบบสแตนด์อโลน"
110,"packaging materials, cleaning materials","วัสดุทำความสะอาด, วัสดุบรรจุภัณฑ์"
111,"paper goods, cp-paper goods","สินค้ากระดาษซีพี, สินค้ากระดาษ"
112,"ready to drink, cp-ready to drink, cancel ready to drink","ซีพีพร้อมดื่ม, พร้อมดื่ม"
113,"refund, s-refund","คืนเงิน, S-คืนเงิน"
114,"rm-cold eat(ready meal cold eat), rm-hot eat (ready meal hot eat)","RM-COLD EAT(อาหารพร้อมรับประทานแบบเย็น), RM-HOT EAT (อาหารพร้อมรับประทานร้อน)"
115,"sda cooking, sda non-cooking","การทำอาหารแบบ SDA, SDA ไม่ปรุงอาหาร"
116,"sim card by true, cs2-sim card by true, cs1-sim card by true, sim card by dtac","CS1-SIM CARD โดย ทรู, CS2-SIM CARD โดย TRUE, ซิมการ์ดโดยดีแทค, ซิมการ์ดโดยทรู"
117,"ws fish+seafood, fish+seafood, cs2-fish+seafood","CS2-ปลา+อาหารทะเล, ปลา+อาหารทะเล, WS ปลา+อาหารทะเล"
118,"ws frozen, frozen","แช่แข็ง, WS แช่แข็ง"
119,"ws h.b.a., h.b.a.","H.B.A., WS H.B.A."
120,"ws preserved+dried, cs2-preserved+dried","CS2-ถนอม+อบแห้ง, WS พรีเซิร์ฟ+อบแห้ง"
121,"ws tobacco, tobacco","ยาสูบ, ดับบลิวเอส โทแบคโค"
122,"ws vegetable, vegetable","ผัก, ดับบลิว. ผัก"
