BABY ACCESSORIES,เครื่องประดับสำหรับเด็ก
BABY HOUSEHOLD,ครัวเรือนเด็ก
BABY SUPPLEMENT,อาหารเสริมสำหรับทารก
BABY WEAR,เสื้อผ้าเด็ก
BAG/O2O ONLINE DOT COM FREE - SALE,BAG/O2O ออนไลน์ DOT COM ฟรี - ลดราคา
BAKERY BOUGHT IN,เบเกอรี่ซื้อเข้ามา
BAKING NEEDS,ความต้องการในการอบ
BALL,ลูกบอล
BANKING AGENT FEE,ค่าธรรมเนียมตัวแทนธนาคาร
BANKING AGENT SERVICE,บริการตัวแทนธนาคาร
BASIC,พื้นฐาน
BATH,อาบน้ำ
BATTERY,แบตเตอรี่
BEDDING,เครื่องนอน
BEEF,เนื้อวัว
BOY WEAR,เด็กชายสวม
BUSINESS SERVICE,บริการธุรกิจ
CAMERA,กล้อง
CAMERA ACCESSORIES,อุปกรณ์เสริมกล้อง
CANNED FOOD,อาหารกระป๋อง
CAT FOOD STANDALONE,อาหารแมวแบบสแตนด์อโลน
CAT SUPPLIES STANDALONE,CAT ซัพพลายแบบสแตนด์อโลน
CELLULAR COMMUNICATION,การสื่อสารผ่านมือถือ
CHECK OUT FOR SCHEMATIC DRAWING,ตรวจสอบการวาดแผนผัง
CHEESE,ชีส
CHILLED CONVENIENCE,ความเย็นสบาย
CLEANING MATERIALS,วัสดุทำความสะอาด
CLERANCE,ความมีวินัย
COIN EXCHANGE,การแลกเปลี่ยนเหรียญ
COLD BEVERAGE,เครื่องดื่มเย็นๆ
COMMISSION BILL PAYMENT,การชำระค่าคอมมิชชั่น
COMMISSION BILL PAYMENT VILLAGE FUND,กองทุนหมู่บ้านชำระค่าคอมมิชชัน
COMPUTER ACCESSORIES,อุปกรณ์เสริมคอมพิวเตอร์
COMPUTING,คอมพิวเตอร์
CONFECTIONERY,ลูกกวาด
COOKING NEEDS,ความต้องการในการทำอาหาร
COOKING+TABLE WARE,อุปกรณ์ทำอาหาร+บนโต๊ะอาหาร
COSMETICS,เครื่องสำอาง
CP SHOP IN SHOP  PROCESSED FOOD,CP SHOP ในร้านค้าอาหารแปรรูป
CP SHOP IN SHOP BALL,CP SHOP ใน SHOP BALL
CP SHOP IN SHOP BEEF,CP SHOP ในร้านเนื้อ
CP SHOP IN SHOP CHICKEN,CP SHOP ในร้านไก่
CP SHOP IN SHOP CHILLED CONVENIENCE,CP SHOP ในร้านค้าเย็นสบาย
CP SHOP IN SHOP CHILLED READY MEAL,CP SHOP ในร้านค้าแช่เย็นพร้อมอาหาร
CP SHOP IN SHOP DELICATESEN,CP SHOP ในร้านขายอาหารสำเร็จรูป
CP SHOP IN SHOP DUCK,CP SHOP ในร้านเป็ด
CP SHOP IN SHOP EGG,CP SHOP ในร้าน EGG
CP SHOP IN SHOP FISH+SEAFOOD,CP SHOP ในร้านปลา+อาหารทะเล
CP SHOP IN SHOP FROZEN MEAT,CP SHOP ในร้านค้าเนื้อแช่แข็ง
CP SHOP IN SHOP FROZEN READY MEAL,CP SHOP ในร้านค้าอาหารแช่แข็งพร้อมรับประทาน
CP SHOP IN SHOP ICE CREAM+DESSERT,CP SHOP ในร้าน ไอศกรีม+ของหวาน
CP SHOP IN SHOP PORK,CP SHOP ในร้านหมู
CP SHOP IN SHOP PRESERVED CHILLED,CP SHOP ในร้าน พรีเซิร์ฟ แช่เย็น
CP SHOP IN SHOP RTE-FROZEN,ร้าน CP ในร้าน RTE-FROZEN
CP SHOP IN SHOP RTE-READY TO EAT,CP SHOP ในร้านค้า RTE-READY TO EAT
CP SHOP IN SHOP SAUSAGE,CP SHOP ในร้านไส้กรอก
CP SHOP IN SHOP SNACK BAR,ร้าน CP ในร้านค้าสแน็คบาร์
CP-BABY HOUSEHOLD,ซีพี-เบบี้ เฮ้าส์
CP-COLD BEVERAGE,ซีพี-เครื่องดื่มเย็น
CP-COMMODITY,CP-สินค้าโภคภัณฑ์
CP-DAIRY GROCERY,ซีพี-แดรี่ โกรเซอรี่
CP-FOOD SUPPLEMENT,ซีพี-อาหารเสริม
CP-FROZEN,ซีพี-โฟรเซ่น
CP-H.B.A.,ซีพี-เอช.บี.เอ.
CP-HORECA CLEANING SUPPLIES,อุปกรณ์ทำความสะอาด CP-HORECA
CP-HORECA RESTAURANT SUPPLIES,อุปกรณ์ร้านอาหารซีพี-โฮเรก้า
CP-HOT BEVERAGE,ซีพี-ฮอท เครื่องดื่ม
CP-HOUSEHOLD CHEMICAL,ซีพี-เคมิคอล
CP-HOUSEHOLD CLEANING,ซีพี-ครัวเรือนทำความสะอาด
CP-PAPER GOODS,สินค้ากระดาษซีพี
CP-READY TO DRINK,ซีพีพร้อมดื่ม
CP-RELIGION,ซีพี-ศาสนา
CP-SNACK+CONFECTIONERY,ซีพี-สแน็ค+ลูกกวาด
CP-SPIRIT,ซีพี-สปิริต
CP-TOBACCO,ซีพี-โทแบคโค
CREDIT BAKERY,เครดิตเบเกอรี่
CREDIT CHEESE+BUTTER,เครดิตชีส+เนย
CREDIT DELICATESSEN,เครดิตอาหารสำเร็จรูป
CREDIT FISH+SEAFOOD,เครดิตปลา+อาหารทะเล
CREDIT FROZEN MEAT,เครดิตเนื้อแช่แข็ง
CREDIT MEAT,เครดิตเนื้อ
CREDIT RTE,เครดิต อาร์ทีอี
CREDIT SAUSAGE+BALL,เครดิต ไส้กรอก+บอล
CS1-CHILDREN,CS1-เด็ก
CS1-CONSIGN SHOES,รองเท้า CS1-CONSIGN
CS1-COSMETIC,CS1-เครื่องสำอาง
CS1-DC DELICATESSEN,CS1-DC ร้านอาหารสำเร็จรูป
CS1-ENTERTAINMENT,CS1-ความบันเทิง
CS1-KIDSWEAR,CS1-ชุดเด็ก
CS1-LADIES BASIC,CS1-สุภาพสตรีขั้นพื้นฐาน
CS1-LADIES CONSIGN,CS1-สุภาพสตรีฝากส่ง
CS1-MEN BASIC,CS1-MEN พื้นฐาน
CS1-MOBILE ACCESSORY BY TRUE,อุปกรณ์เสริม CS1-MOBILE จาก TRUE
CS1-MOBILE BY TRUE,CS1-MOBILE โดย TRUE
CS1-MOBILE PHONE,CS1-โทรศัพท์มือถือ
CS1-PHARMACY,CS1-เภสัช
CS1-POSA CARD,การ์ด CS1-POSA
CS1-SIM CARD BY DTAC,ซิมการ์ด CS1 โดย DTAC
CS1-SIM CARD BY TRUE,CS1-SIM CARD โดย ทรู
CS2-AB MUSLIM,CS2-AB มุสลิม
CS2-ACCESSORIES,CS2-อุปกรณ์เสริม
CS2-AGRICULTURAL PRODUCT,CS2-สินค้าเกษตร
CS2-APPLIANCE,CS2-เครื่องใช้ไฟฟ้า
CS2-ARABITIA BAKERY CONSIGNMENT,CS2-ARABITIA เบเกอรี่ฝากขาย
CS2-ARABITIA FOOD CONSIGNMENT,การส่งมอบอาหาร CS2-ARABITIA
CS2-ARABITIA LIQUOR CONSIGNMENT,การส่งมอบสุรา CS2-ARABITIA
CS2-AUTOMTOIVE,CS2-รถยนต์
CS2-AV ACCESSORIES,อุปกรณ์เสริม CS2-AV
CS2-BABY,CS2-เบบี้
CS2-BABYWEAR,CS2-เสื้อผ้าเด็ก
CS2-BAKERY,CS2-เบเกอรี่
CS2-BUSINESS SERVICE,บริการ CS2-ธุรกิจ
CS2-CAMERA+FILM,CS2-กล้อง+ฟิล์ม
CS2-CHEESE+BUTTER,CS2-ชีส+เนย
CS2-CHILDREN,CS2-เด็ก
CS2-COMPUTER,CS2-คอมพิวเตอร์
CS2-CONSIGN FRESH FOOD,CS2-CONSIGN อาหารสด
CS2-CONSIGN SHOES,รองเท้า CS2-CONSIGN
CS2-DELICATESSEN,CS2-ร้านอาหารสำเร็จรูป
CS2-DG FOOD,อาหารซีเอส2-ดีจี
CS2-DRY A,CS2-DRY A
CS2-E-TOP UP CARD,CS2-E-บัตรเติมเงิน
CS2-EGGS,CS2-ไข่
CS2-ENTERTAINMENT,CS2-ความบันเทิง
CS2-EVENT,CS2-กิจกรรม
CS2-EXPRESS ENTERTAINMENT,ความบันเทิง CS2-EXPRESS
CS2-FINANCIAL PRODUCT,CS2-ผลิตภัณฑ์ทางการเงิน
CS2-FISH+SEAFOOD,CS2-ปลา+อาหารทะเล
CS2-FOOD SUPPLYMENT,CS2-การจัดหาอาหาร
CS2-FROZEN,CS2-แช่แข็ง
CS2-GROOMING STANDALONE,CS2-กรูมมิ่งแบบสแตนด์อโลน
CS2-HARDWARE,CS2-ฮาร์ดแวร์
CS2-HDB,CS2-HDB
CS2-HOME FURNISHING,CS2-การตกแต่งบ้าน
CS2-HOME HARD,CS2-HOME ฮาร์ด
CS2-KIDSWEAR,CS2-ชุดเด็ก
CS2-LADIES ACCESSORIES,อุปกรณ์เสริม CS2-LADIES
CS2-LADIES BASIC,CS2-สุภาพสตรีขั้นพื้นฐาน
CS2-LADIES WEAR,เครื่องแต่งกาย CS2-LADIES
CS2-LEISURE,CS2-พักผ่อน
CS2-LIGHTING,CS2-แสงสว่าง
CS2-LIQUOR +TOBACCO,CS2-สุรา +ยาสูบ
CS2-LOCAL PRODUCT CONSIGNMENT,การส่งมอบผลิตภัณฑ์ CS2-ท้องถิ่น
CS2-LOOSE RICE,CS2-ข้าวหลวม
CS2-LUGGAGE,CS2-กระเป๋าเดินทาง
CS2-MEAT,CS2-เนื้อ
CS2-MEN ACCESSORIES,อุปกรณ์เสริม CS2-MEN
CS2-MEN BASIC,CS2-MEN พื้นฐาน
CS2-MEN WEAR,เครื่องแต่งกาย CS2-MEN
CS2-MOBILE ACCESSORIES,อุปกรณ์เสริม CS2-มือถือ
CS2-MOBILE ACCESSORY BY TRUE,อุปกรณ์เสริม CS2-MOBILE โดย TRUE
CS2-MOBILE BY TRUE,CS2-MOBILE โดย TRUE
CS2-MOBILE PHONE,CS2-โทรศัพท์มือถือ
CS2-NON TELECOM,CS2-ไม่ใช่โทรคมนาคม
CS2-ONLINE TOP UP,CS2-ออนไลน์เติมเงิน
CS2-OTHER INCOMES,CS2-รายได้อื่น ๆ
CS2-OTHER MALL,ซีเอส2-อื่นๆ มอลล์
CS2-PET FOOD STANDALONE,CS2-PET อาหารแบบสแตนด์อโลน
CS2-PET FOOD+SUPPLYS,CS2-อาหารสัตว์เลี้ยง+อุปกรณ์
CS2-PET SERVICES,บริการ CS2-PET
CS2-PET SUPPLIES STANDALONE,CS2-PET ซัพพลายแบบสแตนด์อโลน
CS2-PHARMACY,CS2-เภสัช
CS2-POST OFFICE,CS2-ที่ทำการไปรษณีย์
CS2-PRESERVED DRIED PRODUCT,CS2-Preserved ผลิตภัณฑ์แห้ง
CS2-PRESERVED+DRIED,CS2-ถนอม+อบแห้ง
CS2-PRODUCE,CS2-ผลิต
CS2-RTE,CS2-RTE
CS2-SAUSAGE+BALL,CS2-ไส้กรอก+บอล
CS2-SERVICE,CS2-บริการ
CS2-SIM CARD BY DTAC,ซิมการ์ด CS2 โดย DTAC
CS2-SIM CARD BY TRUE,CS2-SIM CARD โดย TRUE
CS2-SOAP,CS2-สบู่
CS2-STATIONERY,CS2-เครื่องเขียน
CS2-TICKET CARD,บัตร CS2-TICKET
CS2-TV AND AUDIO,CS2-TV และเสียง
CS2-VET CLINIC STANDALONE,CS2-VET คลินิกแบบสแตนด์อโลน
CS2-WINE,CS2-ไวน์
DAIRY GROCERY,ร้านขายของชำผลิตภัณฑ์นม
DAIRY+DRINKS,ผลิตภัณฑ์นม+เครื่องดื่ม
DEALERSHIP,ตัวแทนจำหน่าย
DEFFERRED INCOME,รายได้รอตัดจ่าย
DELICATESSEN,อาหารสำเร็จรูป
DEODORANTS AND ANTIPERSPIRANTS,ผลิตภัณฑ์ระงับกลิ่นกายและระงับเหงื่อ
DEVICES,อุปกรณ์
DOG FOOD STANDALONE,อาหารสุนัขแบบสแตนด์อโลน
DOG SUPPLIES STANDALONE,อุปกรณ์สำหรับสุนัขแบบสแตนด์อโลน
DOT COM,ดอทคอม
DOUBLE DIFFERENCE,ความแตกต่างสองเท่า
DS NON COOK,DS ไม่ปรุงอาหาร
DS REFRIGERATOR,ตู้เย็น DS
DS T.V.,ดีเอส ทีวี
DS WASHING MACHINE,ดีเอส เครื่องซักผ้า
DUCKLAND,ดั๊คแลนด์
DUMMY CONSIGN DEPARTMENT,แผนกขนส่งดัมมี่
DUMMY DEPARTMENT,แผนกหุ่นจำลอง
DUMMY-APPAREL,เครื่องแต่งกายหุ่นจำลอง
DUMMY-DG FOOD,อาหาร DUMMY-DG
DUMMY-DG NON FOOD,DUMMY-DG ไม่ใช่อาหาร
DUMMY-FRESH FOOD,อาหารสดจำลอง
DUMMY-HARDL E,ดัมมี-ฮาร์ดล์ อี
DUMMY-HARDL H,ดัมมี่-ฮาร์ดแอล เอช
DUMMY-LIQUOR+TOBACCO,ดัมมี่-สุรา+ยาสูบ
DUMMY-LOCAL RANGE,ช่วงจำลองท้องถิ่น
DURIAN,ทุเรียน
E TOP-UP,อีเติมเงิน
EGG,ไข่
EXPRESS CUSTOMER PROGRAM,โปรแกรมลูกค้าด่วน
FARM MEE,ฟาร์มมี
FISH+SEAFOOD,ปลา+อาหารทะเล
FOOD,อาหาร
FOOD SUPPLEMENT,อาหารเสริม
FOODLUCK,อาหารลัค
FRESH FOOD,อาหารสด
FROZEN,แช่แข็ง
FROZEN MEAT,เนื้อแช่แข็ง
FROZEN READY MEAL,อาหารพร้อมแช่แข็ง
FRUIT,ผลไม้
FRUIT+VEGETABLE,ผลไม้+ผัก
GENERAL SUPPLIES STANDALONE,อุปทานทั่วไปแบบสแตนด์อโลน
GIFT GROCERY,ร้านขายของที่ระลึก
GIFTWARE,ของที่ระลึก
GIRL WEAR,เสื้อผ้าเด็กผู้หญิง
GROCERY + FRESH PROMOTION ENDS,ร้านขายของชำ + โปรโมชั่นสดใหม่สิ้นสุดลงแล้ว
H.B.A.,H.B.A.
HAIR CARE,ผลิตภัณฑ์ดูแลเส้นผม
HARDL E,ฮาร์ดล์ อี
HARDWARE,ฮาร์ดแวร์
HOME COMMUNICATION,การสื่อสารที่บ้าน
HOME DECORATIVE,ของตกแต่งบ้าน
HOME FURNITURE,เฟอร์นิเจอร์บ้าน
HORTICULTURE,พืชสวน
HOT BEVERAGE,เครื่องดื่มร้อน
HOUSEHOLD CHEMICAL+GE,เคมีภัณฑ์ในครัวเรือน+GE
HOUSEHOLD CLEANING,การทำความสะอาดบ้าน
ICE,น้ำแข็ง
ICE CREAM+DESSERT,ไอศกรีม+ของหวาน
IMPORTED RANGE,ช่วงที่นำเข้า
INSTORE BAKERY,ร้านเบเกอรี่
INTERNET OF THING,อินเทอร์เน็ตของสรรพสิ่ง
INTERNET OF THINGS,อินเทอร์เน็ตของทุกสิ่ง
JUNGLE,ป่า
KAIDEE SHOP,ร้านไก่ดี
LADIES DENIM,เดนิมสุภาพสตรี
LADIES WEAR,ผู้หญิงสวมใส่
LIGHTING,แสงสว่าง
LOOSE RICE,ข้าวหลวม
LUGGAGE,กระเป๋าเดินทาง
MAINTENANCE - OTHER,การบำรุงรักษา - อื่นๆ
MAJOR DOMESTIC APPLIANCE,เครื่องใช้ไฟฟ้าภายในบ้านที่สำคัญ
MALL PERMANENT LEASE,สัญญาเช่าถาวรห้างสรรพสินค้า
MALL TEMPORARY LEASE,ห้างสรรพสินค้าให้เช่าชั่วคราว
MARKETING,การตลาด
MEDICAL EQUIPMENT,อุปกรณ์การแพทย์
MEDICAL SKIN CARE,การดูแลผิวทางการแพทย์
MEDICINE,ยา
MEN ACCESSORIES,เครื่องประดับสำหรับผู้ชาย
MEN WEAR,ผู้ชายสวมใส่
MINI JUNGLE,มินิจังเกิล
MISCELLANEOUS,เบ็ดเตล็ด
MOBILE ACCESSORY BY DTAC,อุปกรณ์เสริมมือถือโดย DTAC
MOBILE ACCESSORY BY TRUE,อุปกรณ์เสริมมือถือโดย TRUE
MOBILE BY DTAC,มือถือโดยดีแทค
MOBILE BY TRUE,มือถือโดยทรู
MOBILE PHONE ACCESSORIES,อุปกรณ์เสริมโทรศัพท์มือถือ
MUANCHON,เมืองชล
O-GIFT CARD,O-บัตรของขวัญ
O-SUD KHUM VOUCHER,O-สุดคุ้ม VOUCHER
O2O EQUIPMENT NEXT DAY,อุปกรณ์ O2O ในวันถัดไป
O2O EQUIPMENT SAME DAY,อุปกรณ์ O2O ในวันเดียวกัน
OPTICAL,ออปติคัล
ORAL CARE,การดูแลช่องปาก
ORGANIC,ออร์แกนิก
OTHER,อื่น
OTHER CONSUMABLES + SPARE PARTS,วัสดุสิ้นเปลืองอื่นๆ + อะไหล่
OTHER CONSUMABLES - BILLION BAR,วัสดุสิ้นเปลืองอื่นๆ - พันล้านบาร์
OTHER CONSUMABLES - JUNGLE COFFEE,สินค้าอุปโภคบริโภคอื่นๆ - JUNGLE COFFEE
OTHER CONSUMABLES-ARABITIA CAFE,สินค้าอุปโภคบริโภคอื่นๆ-ARABITIA CAFE
OTHER PETS FOOD STANDALONE,อาหารสัตว์เลี้ยงอื่นๆ แบบสแตนด์อโลน
OTHER PETS SUPPLIES STANDALONE,อุปกรณ์สัตว์เลี้ยงอื่นๆ แบบสแตนด์อโลน
OTHER PROMOTION,โปรโมชั่นอื่นๆ
PACKAGING - CARRIER BAGS / SHOP,บรรจุภัณฑ์ - กระเป๋าขนส่ง / ร้านค้า
PACKAGING MATERIALS,วัสดุบรรจุภัณฑ์
PAPER GOODS,สินค้ากระดาษ
PASTA+INSTANT FOOD,พาสต้า+อาหารสำเร็จรูป
PC CONSUMABLES,วัสดุสิ้นเปลืองพีซี
PET ACCESSORIES STANDALONE,อุปกรณ์เสริมสำหรับสัตว์เลี้ยงแบบสแตนด์อโลน
PET FOOD+SUPPLYS,อาหารสัตว์เลี้ยง+วัสดุสิ้นเปลือง
PET FROZEN STANDALONE,สัตว์เลี้ยงแช่แข็งแบบสแตนด์อโลน
PLASTIC BAG,ถุงพลาสติก
PLASTIC WARE,ภาชนะพลาสติก
PORK,เนื้อหมู
POULTRY,สัตว์ปีก
PREMIUM,พรีเมี่ยม
PRESERVED CHILLED,แช่เย็นเก็บรักษาไว้
PRESERVED DRIED PRODUCT,ผลิตภัณฑ์แห้งแบบเก็บรักษาไว้
PRICE POINT,จุดราคา
PROCESSED FOOD,อาหารแปรรูป
PROMOTIONAL CONSIGNMENT,การส่งมอบส่งเสริมการขาย
R-VENDOR RM FOR FACTORY PROCESSING,R-VENDOR RM สำหรับการประมวลผลในโรงงาน
RAKTHAI,รักไทย
READY TO DRINK,พร้อมดื่ม
RECEIVED BILL PAYMENT,ได้รับการชำระเงินตามบิลแล้ว
RECEIVED BILL PAYMENT VILLAGE FUND,ได้รับเงินกองทุนหมู่บ้านจ่ายบิล
REFRIGERATOR,ตู้เย็น
REFUND,คืนเงิน
RELIGION,ศาสนา
RM-COLD EAT(READY MEAL COLD EAT),RM-COLD EAT(อาหารพร้อมรับประทานแบบเย็น)
RM-HOT EAT (READY MEAL HOT EAT),RM-HOT EAT (อาหารพร้อมรับประทานร้อน)
RTD,RTD
RTE-READY TO EAT,RTE พร้อมรับประทาน
S-B2B,เอส-บีทูบี
S-GIFT CARD,เอส-กิฟต์การ์ด
S-REFUND,S-คืนเงิน
S-SUD KHUM VOUCHER,S-สุดคุ้ม VOUCHER
SAUCE AND CONDIMENT CHILLED,ซอสและเครื่องปรุงรสแช่เย็น
SAUSAGE,ไส้กรอก
SCHOOL UNIFORM,ชุดนักเรียน
SDA COOKING,การทำอาหารแบบ SDA
SDA NON-COOKING,SDA ไม่ปรุงอาหาร
SEASONAL + EVENT,ฤดูกาล + กิจกรรม
SET TOP BOX AND DVD,กล่องเซ็ตท็อปและดีวีดี
SHAVE AND COTTON,โกนหนวดและผ้าฝ้าย
SHOES,รองเท้า
SIM CARD BY DTAC,ซิมการ์ดโดยดีแทค
SIM CARD BY TRUE,ซิมการ์ดโดยทรู
SKIN CARE,การดูแลผิว
SMALL DOMESTIC APPLIANCE,เครื่องใช้ไฟฟ้าภายในบ้านขนาดเล็ก
SNACK BAR,สแน็คบาร์
SOAP,สบู่
SPIRIT,วิญญาณ
SPORTING GOODS,สินค้ากีฬา
STAR COFFEE,สตาร์คอฟฟี่
STATIONERY,เครื่องเขียน
T.V.,ทีวี
TESCO INSURANCE,เทสโก้ประกันภัย
TOBACCO,ยาสูบ
TOP UP CARD,บัตรเติมเงิน
TOP UP CARD-CC POINT,เติมเงินบัตร-CC POINT
TOYS,ของเล่น
UBON PLERN-BILLION,อุบล เพลิน-พันล้าน
UBON PLERN-SNACK BAR,อุบล เพลิน-สแน็คบาร์
UNIFORM - BILLION BAR,ยูนิฟอร์ม - พันล้านบาร์
UNIFORM - JUNGLE COFFEE,ยูนิฟอร์ม - กาแฟจังเกิล
UNIFORM PC + CONSIGNMENT,ยูนิฟอร์มพีซี + ฝากขาย
UNIFORM-ARABITIA CAFE,ยูนิฟอร์ม-อาราบิเทีย คาเฟ่
VEGETABLE,ผัก
VITAMINS AND DIETARY SUPPLEMENT,วิตามินและอาหารเสริม
WASHING MACHINE,เครื่องซักผ้า
WIFI,อินเตอร์เน็ตไร้สาย
WINGSTOP,วิงสต็อป
WS BABY WORLD,WS เบบี้ เวิลด์
WS CHEESE+BUTTER,WS ชีส+เนย
WS CHILLED CONVENIENCE,WS เย็นสบาย
WS COMMODITY,WS สินค้าโภคภัณฑ์
WS DAIRY+DRINKS,WS นม+เครื่องดื่ม
WS DIY,ดับบลิว ดีไอวาย
WS DRINK+CONFECTIONERY,ดับบลิว เครื่องดื่ม+ขนมหวาน
WS EGG,ดับบลิวเอส เอ้ก
WS ELECTRONICS,ดับบลิวเอส อิเล็กทรอนิกส์
WS FISH+SEAFOOD,WS ปลา+อาหารทะเล
WS FROZEN,WS แช่แข็ง
WS FRUIT,ดับบลิว ผลไม้
WS H.B.A.,WS H.B.A.
WS HOME SOFT,WS โฮมซอฟท์
WS HORECA CLEANING SUPPLIES,WS HORECA อุปกรณ์ทำความสะอาด
WS HORECA COLD BEVERAGE,WS เครื่องดื่มเย็น HORECA
WS HORECA COMMODITY,WS สินค้าโภคภัณฑ์ HORECA
WS HORECA DAIRY PRODUCTS,WS HORECA ผลิตภัณฑ์นม
WS HORECA RESTAURANT SUPPLIES,WS HORECA อุปกรณ์สำหรับร้านอาหาร
WS HOUSEHOLD,WS ครัวเรือน
WS INSTORE BAKERY,WS อินสโตร์ เบเกอรี่
WS LEISURE,ดับบลิวเอส เลเชอร์
WS LIQUOR,ดับบลิว สุรา
WS MEAT,WS เนื้อ
WS NEW TECH,WS เทคโนโลยีใหม่
WS PRESERVED+DRIED,WS พรีเซิร์ฟ+อบแห้ง
WS SALAD,ดับบลิว สลัด
WS SAUSAGE+BALL,ดับบลิว ไส้กรอก+บอล
WS TOBACCO,ดับบลิวเอส โทแบคโค
WS VEGETABLE,ดับบลิว. ผัก
YOGHURT+DESSERT,โยเกิร์ต+ของหวาน
